"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
26-Jun-16,26-Jun-16,180.73,E7072,AD900,May-2016,DD,Other,VAT and Tax for District Leader Name Badges AL E7072 RC AD900,Other,,
26-Jun-16,26-Jun-16,146.32,E7034,CP603,May-2016,DD,Other,GoToMeeting April and May AL E7034 RC CP603,Communication,,
29-Jun-16,29-Jun-16,380.00,E7078,ET703,Jun-2016,DD,Other,District Leader boot camp - Dinner 20 * 19 €,Refreshments,,
29-Jun-16,29-Jun-16,1108.70,E7058,TR963,Jun-2016,DD,Other,"District Leader boot camp - Lodging, Rest of the invoice",Lodging,,
29-Jun-16,29-Jun-16,14.00,E7062,TR963,Jun-2016,DD,Other,District Leader boot camp - Airport parking when picking up District Leaedrs,Travel,Other,21.0 km
12-Feb-16,12-Feb-16,75.00,E7014,MK512,Nov-2015,A1,Other,Demo Meeting_Hamburg International Speakers,Marketing,,
12-Feb-16,12-Feb-16,25.00,E7020,MK512,Nov-2015,A1,Other,Demo Meeting_Hamburg International Speakers,Marketing,,
12-Feb-16,12-Feb-16,40.00,E7012,MK512,Nov-2015,A1,Other,Demo Meeting_Hamburg International Speakers,Marketing,,
12-Feb-16,12-Feb-16,105.00,E7014,CO154,Oct-2015,A1,Speech contest,deficit - area conference A1 & A2,Conference,,
26-Apr-16,26-Apr-16,149.98,E7060,TR958A,Feb-2016,A1,DECM,Flightticket,Travel,Air,"1,167 km"
21-May-16,21-May-16,56.88,E7020,MK520,Mar-2016,A1,Other,Flyers for prospective club to get new members,Marketing,,
30-Jun-16,30-Jun-16,296.54,E7060,TR963,May-2016,A1,DECM,Travel to DECM TImisoara,Travel,Air,"1,464 km"
30-Jun-16,30-Jun-16,353.81,E7060,TR963,Jun-2016,A1,Other,Flight cost,Travel,Air,"1,470 km"
31-Mar-16,31-Mar-16,37.40,E7062,TR958B,Oct-2015,A2,Club visit,travel charges for club visit docs already send to Heikki,Travel,Car,109 km
31-Mar-16,31-Mar-16,119.98,E7060,TR958A,Feb-2016,A2,DECM,flight to Budapest,Travel,Air,"1,143 km"
21-May-16,21-May-16,21.08,E7062,TR958B,Feb-2016,A2,Club visit,travel to Luebeck,Travel,Car,124km
21-May-16,21-May-16,14.62,E7062,TR958B,Feb-2016,A2,Club visit,travel to Buxtehude,Travel,Car,55.0 km
21-May-16,21-May-16,5.78,E7062,TR958B,Feb-2016,A2,Club visit,travel to Hanseredner,Travel,Car,16.5 km
12-Feb-16,12-Feb-16,113.21,E7082,MK511,Jul-2015,DD,Other,New club banner usd 100 and shipping usd 22,Marketing,,
30-Jun-16,30-Jun-16,253.82,E7060,TR963,May-2016,DD,Other,Travel cost for incoming PR manager to DOT ,Travel,Air,"1,182 km"
30-Jun-16,30-Jun-16,40.00,E7058,TR963,May-2016,DD,Other,Lodging for incoming PR manager in Timisoara,Lodging,,
14-Feb-16,14-Feb-16,16.26,E7062,TR958B,Aug-2015,E0,Club visit,"DEMO meeting Grudziądz, travel",Travel,Car,95.7 km
14-Feb-16,14-Feb-16,19.89,E7062,TR958B,Aug-2015,E0,Club visit,"DEMO meeting Grudziądz, travel - way back",Travel,Car,117 km
14-Feb-16,14-Feb-16,4.86,E7062,TR958B,Sep-2015,E0,Club visit,"Club visit Sokrates, travel",Travel,Car,28.6 km
14-Feb-16,14-Feb-16,4.86,E7062,TR958B,Sep-2015,E0,Club visit,"Club visit Sokrates, travel  - way back",Travel,Car,28.6 km
14-Feb-16,14-Feb-16,19.72,E7062,TR958B,Oct-2015,E0,Club visit,"Club visit Grudziądz, travel  ",Travel,Car,116 km
14-Feb-16,14-Feb-16,19.89,E7062,TR958B,Oct-2015,E0,Club visit,"Club visit Grudziądz, travel  - way back",Travel,Car,117 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Oct-2015,E0,Club visit,"Club visit Bydgoszcz Professionals, travel",Travel,Car,28.0 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Oct-2015,E0,Club visit,"Club visit Bydgoszcz Professionals, travel -way back",Travel,Car,28.0 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Nov-2015,E0,Club visit,"Club visit Bydgoszcz TM, travel -",Travel,Car,28.0 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Nov-2015,E0,Club visit,"Club visit Bydgoszcz TM, travel - way back",Travel,Car,28.0 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Nov-2015,E0,Club visit,Club visit Bydgoszcz Professionals DEMO travel ,Travel,Car,28.0 km
14-Feb-16,14-Feb-16,4.76,E7062,TR958B,Nov-2015,E0,Club visit,Club visit Bydgoszcz Professionals DEMO travel - way back,Travel,Car,28.0 km
14-Feb-16,14-Feb-16,64.26,E7062,TR958A,Sep-2015,E0,DECM,DECm in Wroclaw Travel,Travel,Car,387 km
